2023-11-16 17:32:35,502 INFO    MainThread:1119571 [wandb_setup.py:_flush():76] Current SDK version is 0.16.0
2023-11-16 17:32:35,503 INFO    MainThread:1119571 [wandb_setup.py:_flush():76] Configure stats pid to 1119571
2023-11-16 17:32:35,503 INFO    MainThread:1119571 [wandb_setup.py:_flush():76] Loading settings from /root/.config/wandb/settings
2023-11-16 17:32:35,503 INFO    MainThread:1119571 [wandb_setup.py:_flush():76] Loading settings from /home/louis/projects/week4/transformer-plus/wandb/settings
2023-11-16 17:32:35,503 INFO    MainThread:1119571 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-11-16 17:32:35,503 INFO    MainThread:1119571 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-11-16 17:32:35,503 INFO    MainThread:1119571 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'train.py', 'program_abspath': '/home/louis/projects/week4/transformer-plus/train.py', 'program': '/home/louis/projects/week4/transformer-plus/train.py'}
2023-11-16 17:32:35,503 INFO    MainThread:1119571 [wandb_init.py:_log_setup():524] Logging user logs to /home/louis/projects/week4/transformer-plus/wandb/run-20231116_173235-6nm075ds/logs/debug.log
2023-11-16 17:32:35,503 INFO    MainThread:1119571 [wandb_init.py:_log_setup():525] Logging internal logs to /home/louis/projects/week4/transformer-plus/wandb/run-20231116_173235-6nm075ds/logs/debug-internal.log
2023-11-16 17:32:35,504 INFO    MainThread:1119571 [wandb_init.py:init():564] calling init triggers
2023-11-16 17:32:35,504 INFO    MainThread:1119571 [wandb_init.py:init():571] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.1, 'dimensions': 128, 'vocab_size': 12000, 'epochs': 10, 'num_heads': 5, 'num_layers': 4, 'ff_dim': 256, 'dropout': 0.1}
2023-11-16 17:32:35,504 INFO    MainThread:1119571 [wandb_init.py:init():614] starting backend
2023-11-16 17:32:35,504 INFO    MainThread:1119571 [wandb_init.py:init():618] setting up manager
2023-11-16 17:32:35,506 INFO    MainThread:1119571 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-11-16 17:32:35,516 INFO    MainThread:1119571 [wandb_init.py:init():624] backend started and connected
2023-11-16 17:32:35,521 INFO    MainThread:1119571 [wandb_init.py:init():716] updated telemetry
2023-11-16 17:32:35,538 INFO    MainThread:1119571 [wandb_init.py:init():749] communicating run to backend with 90.0 second timeout
2023-11-16 17:32:36,222 INFO    MainThread:1119571 [wandb_run.py:_on_init():2254] communicating current version
2023-11-16 17:32:36,382 INFO    MainThread:1119571 [wandb_run.py:_on_init():2263] got version response 
2023-11-16 17:32:36,382 INFO    MainThread:1119571 [wandb_init.py:init():800] starting run threads in backend
2023-11-16 17:32:43,256 INFO    MainThread:1119571 [wandb_run.py:_console_start():2233] atexit reg
2023-11-16 17:32:43,256 INFO    MainThread:1119571 [wandb_run.py:_redirect():2088] redirect: wrap_raw
2023-11-16 17:32:43,256 INFO    MainThread:1119571 [wandb_run.py:_redirect():2153] Wrapping output streams.
2023-11-16 17:32:43,256 INFO    MainThread:1119571 [wandb_run.py:_redirect():2178] Redirects installed.
2023-11-16 17:32:43,257 INFO    MainThread:1119571 [wandb_init.py:init():841] run started, returning control to user process
