2023-11-16 17:36:55,195 INFO    MainThread:1125599 [wandb_setup.py:_flush():76] Current SDK version is 0.16.0
2023-11-16 17:36:55,199 INFO    MainThread:1125599 [wandb_setup.py:_flush():76] Configure stats pid to 1125599
2023-11-16 17:36:55,199 INFO    MainThread:1125599 [wandb_setup.py:_flush():76] Loading settings from /root/.config/wandb/settings
2023-11-16 17:36:55,199 INFO    MainThread:1125599 [wandb_setup.py:_flush():76] Loading settings from /home/louis/projects/week4/transformer-plus/wandb/settings
2023-11-16 17:36:55,200 INFO    MainThread:1125599 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-11-16 17:36:55,200 INFO    MainThread:1125599 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-11-16 17:36:55,200 INFO    MainThread:1125599 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'train.py', 'program_abspath': '/home/louis/projects/week4/transformer-plus/train.py', 'program': '/home/louis/projects/week4/transformer-plus/train.py'}
2023-11-16 17:36:55,200 INFO    MainThread:1125599 [wandb_init.py:_log_setup():524] Logging user logs to /home/louis/projects/week4/transformer-plus/wandb/run-20231116_173655-im76t0of/logs/debug.log
2023-11-16 17:36:55,200 INFO    MainThread:1125599 [wandb_init.py:_log_setup():525] Logging internal logs to /home/louis/projects/week4/transformer-plus/wandb/run-20231116_173655-im76t0of/logs/debug-internal.log
2023-11-16 17:36:55,201 INFO    MainThread:1125599 [wandb_init.py:init():564] calling init triggers
2023-11-16 17:36:55,201 INFO    MainThread:1125599 [wandb_init.py:init():571] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.1, 'dimensions': 128, 'vocab_size': 12000, 'epochs': 10, 'num_heads': 5, 'num_layers': 4, 'ff_dim': 256, 'dropout': 0.1}
2023-11-16 17:36:55,201 INFO    MainThread:1125599 [wandb_init.py:init():614] starting backend
2023-11-16 17:36:55,201 INFO    MainThread:1125599 [wandb_init.py:init():618] setting up manager
2023-11-16 17:36:55,203 INFO    MainThread:1125599 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-11-16 17:36:55,221 INFO    MainThread:1125599 [wandb_init.py:init():624] backend started and connected
2023-11-16 17:36:55,227 INFO    MainThread:1125599 [wandb_init.py:init():716] updated telemetry
2023-11-16 17:36:55,234 INFO    MainThread:1125599 [wandb_init.py:init():749] communicating run to backend with 90.0 second timeout
2023-11-16 17:36:55,858 INFO    MainThread:1125599 [wandb_run.py:_on_init():2254] communicating current version
2023-11-16 17:36:56,001 INFO    MainThread:1125599 [wandb_run.py:_on_init():2263] got version response 
2023-11-16 17:36:56,001 INFO    MainThread:1125599 [wandb_init.py:init():800] starting run threads in backend
2023-11-16 17:37:01,538 INFO    MainThread:1125599 [wandb_run.py:_console_start():2233] atexit reg
2023-11-16 17:37:01,538 INFO    MainThread:1125599 [wandb_run.py:_redirect():2088] redirect: wrap_raw
2023-11-16 17:37:01,538 INFO    MainThread:1125599 [wandb_run.py:_redirect():2153] Wrapping output streams.
2023-11-16 17:37:01,538 INFO    MainThread:1125599 [wandb_run.py:_redirect():2178] Redirects installed.
2023-11-16 17:37:01,539 INFO    MainThread:1125599 [wandb_init.py:init():841] run started, returning control to user process
